englishname,chinesename,distillery,bottler,vintage,statedage,strength,size,casktype,casknumber,numberofbottles,rating,fbprice,euprice,chinaprice,notes,fbpricedate,eupricedate,chinapricedate,dateupdated
Aberfeldy 1983 Exceptional Cask Series,艾柏迪 1983 33年,Aberfeldy,官方,1983,33,0.524,700,Marsala桶,,588,90.75,,,"9,500.00",中國限定,,,2019/3/19,2019/3/20
Aberfeldy 21-year-old,艾柏迪 21年,Aberfeldy,官方,,21,0.4,700,波本,,,84.68,2100,85,,,2018/10/23,2018/11/5,,2019/3/8
Ardbeg 10 Year Old Warehouse Edition,阿貝 10年 鐵盒,Ardbeg,官方,,10,0.46,700,,,,,1450,35,,FB私價,2019/3/28,2019/2/4,,2019/3/7
Ardbeg 1972 #2781,阿貝 1972 #2781,Ardbeg,官方,1972,31,0.492,700,"波本 , 豬頭",2781,216,94.25,,"2,105.00",,,,,,2019/2/25
Ardbeg 1972 #3038,阿貝 1972 #3038,Ardbeg,官方,1972,31,0.442,700,"波本 , 豬頭",3038,148,92.43,,"2,600.00",,,,2019/3/4,,2019/2/25
Ardbeg 1973 DL Old Malt Cask - 60th Anniversary,阿貝 1973 60週年,Ardbeg,Douglas Laing,1973,36,0.435,700,豬頭,,94,92.52,,"1,500.00",,,,2019/1/7,,2019/2/25
Ardbeg 1973 GM Connoisseurs Choice,阿貝 1973 GM 地圖標,Ardbeg,官方,1973,,0.4,700,,,,90.61,,440,"6,500.00",2003裝瓶/地圖標,,2018/6/4,2019/3/19,2019/3/20
Ardbeg 1974 #2743,阿貝 1974 #2743,Ardbeg,官方,1974,31,0.517,700,"波本 , 豬頭",2743,106,93.5,,"2,150.00",,,,2019/3/4,,2019/2/25
Ardbeg 1974 GM Connoisseurs Choice,阿貝 1974 GM 地圖標,Ardbeg,官方,1974,,0.4,700,,,,90.75,,,"5,300.00",1993裝瓶/地圖標,,,2019/3/19,2019/3/20
Ardbeg 1974 Provenance1st Release,阿貝 起源 1974 第一版,Ardbeg,官方,1974,23,0.556,700,"波本 , 豬頭",,5000,94.1,,"2,600.00",,第一版,,2019/3/4,,2019/2/25
Ardbeg 1975 #1378,阿貝 1975 #1378,Ardbeg,官方,1975,31,0.537,700,雪莉,1378,453,92.9,,"3,500.00",,,,2019/3/4,,2019/2/25
Ardbeg 1975 DL Platinum Selection - clear glass bottle,阿貝 1975 DL Old & Rare,Ardbeg,Douglas Laing,1975,29,0.583,700,,,145,92.24,,"1,250.00","14,100.00",,,2019/2/4,2019/3/19,2019/3/19
Ardbeg 1979 GM Connoisseurs Choice,阿貝 1979 GM 26年 地圖標,Ardbeg,官方,1979,26,0.43,700,波本 Barrels(二次充填),,,88.67,,190,"6,800.00",地圖標,,2015/11/30,2019/3/19,2019/3/20
Ardbeg 1996 Twenty Something,阿貝 廿幾歲 22年,Ardbeg,官方,1996,22,0.464,700,前波本,,2400,90.53,19500,359,,FB明跑公司貨,2019/3/8,2019/2/4,,2019/3/14
Ardbeg 1999 SMWS 33.89 Sweet and secretive,阿貝 1999 SMWS 33.89,Ardbeg,Scotch Malt Whisky Society,1999,10,0.572,700,,,250,86.25,7800,,,,2018/1/8,,,2019/3/7
Ardbeg 2000 MoS,阿貝 2000 MoS,Ardbeg,Malts of Scotland,2000,,0.515,700,雪莉Butt,,525,89.48,,240,"3,000.00",2018裝瓶,,,2017/12/4,2019/3/25
Ardbeg 2011 #2198,阿貝 2011 #2198,Ardbeg,官方,2011,6,0.602,700,波本 (一次充填),2198,256,92.2,,525,,,,2019/3/4,,2019/2/25
Ardbeg Alligator,阿貝 鱷魚 台版,Ardbeg,官方,,,0.512,700,新美國白橡木 Barrels,,,,9200,230,,台版,2019/3/25,2019/3/4,,2019/3/6
Ardbeg Auriverdes Limited Edition,阿貝 足球 限量,Ardbeg,官方,2002,12,0.499,700,美國橡木,,66600,85.68,3700,77,,Feis Ile 2014/FB台灣貨,2019/3/14,2019/3/4,,2019/3/22
Ardbeg Corryvreckan,阿貝 漩渦,Ardbeg,官方,,,0.571,750,,,,,1700,55,,美版,,2019/3/4,,2019/3/6
Ardbeg Dark Cove Committee Release,阿貝 暗灣 會員版,Ardbeg,官方,,,0.55,700,前波本 & 暗雪莉,,,88.18,7000,150,,會員限定,2019/4/23,2019/3/4,,2019/4/24
Ardbeg Kelpie Special Committee Only Edition,阿貝 海妖 會員版,Ardbeg,官方,,,0.517,700,俄羅斯橡木(處女),,,86.63,7300,160,,FB拍賣無盒會員,2019/4/23,2019/3/4,,2019/4/24
Ardbeg Kildalton,阿貝 十字架,Ardbeg,官方,,,0.46,700,波本 & 雪莉(二次充填),,,85.91,8000,210,"3,000.00",,2018/11/7,2019/3/4,2019/3/19,2019/3/20
Ardbeg Perpetuum 200 Years of Ardbeg,阿貝 Perpetuum 200周年,Ardbeg,官方,,,0.474,700,波本 & 雪莉,72000,,84.53,3275,85,,公司貨4盒13100,2018/9/19,2019/3/4,,2019/3/7
Ardbeg Supernova 2009,阿貝 超新星 2009,Ardbeg,官方,,,0.589,700,,,21000,89.13,,,"3,300.00",2009裝瓶,,,2019/3/19,2019/3/20
Ardbeg Supernova SN 2010,阿貝 超新星 2010,Ardbeg,官方,,,0.601,700,,,,89.16,,220,"2,900.00",2010裝瓶,,2019/3/4,2019/3/19,2019/3/20
Ardbeg Twenty One,阿貝 21年,Ardbeg,官方,,21,0.46,700,前波本,,8268,87.6,16400,298,,阿貝會員限定/2016版,2018/6/26,2018/3/4,,2019/3/11
Ardbeg Uigeadail L6,阿貝 烏嘎爹 L6,Ardbeg,官方,1996,,0.542,700,,,,89.29,20000,,,,,,,2019/3/5
Ardbeg Uigeadail L9,阿貝 烏嘎爹 L9,Ardbeg,官方,,,0.542,700,波本 & 雪莉,,,88.86,2800,,,,,,,2019/3/5
ArdbegTwenty Something 23YO,阿貝 廿幾歲 23年,Ardbeg,官方,,23,0.463,700,前波本& 前Oloroso雪莉,,,89.46,21450,320,,FB拍賣UK版/阿貝會員限定,2019/4/12,,,2019/4/16
Ardmore 1996 HL Old Malt Cask,阿德莫爾 1996 HL OMC 20年,Ardmore,Hunter Laing,1996,20,0.493,700,豬頭(二次充填),HL 13770,278,86,2900,,,,2018/1/9,,,2019/3/8
Ardmore 2004 SMWS 66.81 Black bun by a peaty hearth,阿德莫爾 2004 SMWS 66.81,Ardmore,官方,2004,11,0.614,700,白酒豬頭(一次充填),,258,74.33,4000,,,,2019/2/13,,,2019/3/12
Arran 1995 Founder's Reserve,愛倫 Founder's Reserve,Arran,官方,1995,6,0.43,700,,,,82.39,1200,,,,2018/5/12,,,2019/3/7
Arran 2000 Morlow,愛倫 Morlow 千囍年,Arran,官方,2000,15,0.534,700,"雪莉, 豬頭",,,88.25,3100,,,,2018/5/12,,,2019/3/7
Arran The Devil's Punch Bowl Chaper I,愛倫 惡魔 第一章,Arran,官方,,,0.523,700,波本Barrels & 雪莉Butt,,6660,87.5,,240,,,,,,2019/3/3
Arran The Devil's Punch Bowl Chaper II,愛倫 惡魔 第二章,Arran,官方,,,0.531,700,27種愛倫酒廠木桶,,6660,87.13,3100,129,,公司貨3盒9300,2018/9/19,2019/1/7,,2019/3/3
Arran The Devil's Punch Bowl Chaper III,愛倫 惡魔 第三章,Arran,官方,,,0.534,700,波本 & 雪莉,,6660,86.27,,90,,,,,,2019/3/3
Aultmore 1983 Exceptional Cask Series,雅墨 1983 33年,Aultmore,官方,1983,33,0.533,700,雪莉,,678,83.33,,,"9,800.00",,,,2019/3/19,2019/3/20
Aultmore 1983 Flora & Fauna - Cask Strength,雅墨 1983 花鳥 原酒,Aultmore,官方,1983,14,0.588,700,,,,87.47,,300,"4,900.00",,,2019/1/7,2019/3/19,2019/3/19
Balblair 2001 Single Cask,巴布萊爾 2001 單桶 #686,Balblair,官方,2001,,0.574,700,,,686,,4300,,,FB私價/台灣限定,2019/4/22,,,2019/4/23
Balvenie 17-year-old Sherry Oak,百富 17年 雪莉,Balvenie,官方,,17,0.482,700,Oloroso雪莉(一次充填),,,89,,,"4,200.00",2007裝瓶,,,2019/3/24,2019/3/25
Balvenie 17-year-oldSherry Oak,百富 17年 雪莉,Balvenie,官方,,17,0.43,700,Oloroso 雪莉 (一次充填),,,87.96,12000,370,,,,,,2019/2/26
Balvenie 1991 Rose,百富 1991 玫瑰 首版,Balvenie,官方,1991,16,0.534,700,波特(一次充填),,,91,,,"18,800.00",,,,2019/3/19,2019/3/20
Balvenie 1991 Rose Second Release,百富 1991 玫瑰 第二版,Balvenie,官方,1991,16,0.503,700,波特(一次充填),,,91.31,,,"15,300.00",,,,2019/3/19,2019/3/20
Balvenie 40-year-old Batch 7,百富 40年 第七版,Balvenie,官方,,40,0.485,700,3種美國橡木 + 3種雪莉 Butts,,,92.44,,,"30,688.00",,,,2019/3/19,2019/3/19
Balvenie Thirty,百富 30年,Balvenie,官方,,30,0.473,700,Oloroso雪莉 & 傳統橡木,,,91.5,24800,725,,,2019/3/25,2019/3/4,,2019/3/27
